,week_number,avg_mobility
0,105.0,6.410476190476192
1,106.0,2.8566666666666642
2,107.0,4.261428571428572
3,108.0,4.393333333333333
4,109.0,19.744285714285713
5,110.0,17.465714285714284
6,111.0,14.786666666666669
7,112.0,21.47380952380952
8,113.0,2.450952380952383
9,114.0,-51.58190476190475
10,115.0,-62.33238095238095
11,116.0,-60.06333333333333
12,117.0,-59.01571428571429
13,118.0,-57.259047619047614
14,119.0,-54.04047619047619
15,120.0,-48.87285714285715
16,121.0,-46.38857142857143
17,122.0,-39.992
18,123.0,-32.79
19,124.0,-26.22571428571429
20,125.0,-20.54619047619048
21,126.0,-11.156666666666666
22,127.0,-4.007619047619049
23,128.0,-0.15047619047619065
24,129.0,4.404285714285713
25,130.0,8.153809523809526
26,131.0,9.989047619047618
27,132.0,11.41285714285714
28,133.0,8.748095238095239
29,134.0,12.479999999999995
30,135.0,9.477142857142857
31,136.0,9.032380952380949
32,137.0,3.9547619047619045
33,138.0,7.914285714285714
34,139.0,-2.0066666666666677
35,140.0,7.432380952380956
36,141.0,5.150952380952383
37,142.0,-3.1280952380952365
38,143.0,3.910952380952383
39,144.0,-2.44333333333334
40,145.0,-8.072857142857144
41,146.0,-13.72476190476191
42,147.0,-15.125714285714288
43,148.0,-25.186666666666667
44,149.0,-28.305238095238096
45,150.0,-33.58190476190476
46,151.0,-28.18952380952381
47,152.0,-26.477619047619047
48,153.0,-23.685238095238095
49,154.0,-31.790476190476188
50,155.0,-24.736666666666665
51,156.0,-28.761904761904763
52,157.0,-28.21809523809524
53,158.0,-28.666666666666668
54,159.0,-32.965714285714284
55,160.0,-29.236190476190476
56,161.0,-23.15095238095238
57,162.0,-25.419999999999998
58,163.0,-14.576190476190476
59,164.0,-10.856190476190477
60,165.0,-4.9105555555555584
61,166.0,0.7028571428571458
62,167.0,2.0238095238095277
63,168.0,9.694285714285714
64,169.0,9.306666666666667
65,170.0,11.626666666666665
66,171.0,8.807619047619047
67,172.0,21.06571428571429
68,173.0,17.882857142857144
69,174.0,30.46666666666667
70,175.0,40.449047619047626
71,176.0,45.38238095238095
72,177.0,54.282380952380954
73,178.0,65.69571428571426
74,179.0,68.1961904761905
75,180.0,61.129999999999995
76,181.0,64.78904761904762
77,182.0,72.20809523809524
78,183.0,73.01904761904763
79,184.0,76.40857142857143
80,185.0,99.36190476190478
81,186.0,78.19809523809523
82,187.0,72.06333333333335
83,188.0,76.20761904761905
84,189.0,71.7652380952381
85,190.0,81.65428571428572
86,191.0,70.7947619047619
87,192.0,80.76857142857142
88,193.0,79.75190476190475
89,194.0,68.26285714285714
90,195.0,76.49190476190475
91,196.0,72.78380952380952
92,197.0,64.88857142857141
93,198.0,60.74047619047619
94,199.0,52.163809523809526
95,200.0,49.14190476190476
96,201.0,56.58380952380952
97,202.0,38.89809523809524
98,203.0,52.99444444444445
99,208.0,-39.49111111111111
